MMM,3M Company,Industrials,Industrial Conglomerates,"St. Paul, Minnesota",09/08/1976,1902,
ABT,Abbott Laboratories,Health Care,Health Care Equipment,"North Chicago, Illinois",31/03/1964,1888,
ABBV,AbbVie Inc.,Health Care,Pharmaceuticals,"North Chicago, Illinois",31/12/2012,2013 (1888),
ABMD,ABIOMED Inc,Health Care,Health Care Equipment,"Danvers, Massachusetts",31/05/2018,1981,
ACN,Accenture plc,Information Technology,IT Consulting & Other Services,"Dublin, Ireland",06/07/2011,1989,
ATVI,Activision Blizzard,Communication Services,Interactive Home Entertainment,"Santa Monica, California",31/08/2015,2008,
ADBE,Adobe Inc.,Information Technology,Application Software,"San Jose, California",05/05/1997,1982,
AMD,Advanced Micro Devices Inc,Information Technology,Semiconductors,"Santa Clara, California",20/03/2017,1969,
AAP,Advance Auto Parts,Consumer Discretionary,Automotive Retail,"Raleigh, North Carolina",09/07/2015,1932,
AES,AES Corp,Utilities,Independent Power Producers & Energy Traders,"Arlington, Virginia",02/10/1998,1981,
AFL,AFLAC Inc,Financials,Life & Health Insurance,"Columbus, Georgia",28/05/1999,1955,
A,Agilent Technologies Inc,Health Care,Health Care Equipment,"Santa Clara, California",05/06/2000,1999,
APD,Air Products & Chemicals Inc,Materials,Industrial Gases,"Allentown, Pennsylvania",30/04/1985,1940,
AKAM,Akamai Technologies Inc,Information Technology,Internet Services & Infrastructure,"Cambridge, Massachusetts",12/07/2007,1998,
ALK,Alaska Air Group Inc,Industrials,Airlines,"Seattle, Washington",13/05/2016,1985,
ALB,Albemarle Corp,Materials,Specialty Chemicals,"Charlotte, North Carolina",01/07/2016,1994,
ARE,Alexandria Real Estate Equities,Real Estate,Office REITs,"Pasadena, California",20/03/2017,1994,
ALXN,Alexion Pharmaceuticals,Health Care,Biotechnology,"Boston, Massachusetts",25/05/2012,1992,1992
ALGN,Align Technology,Health Care,Health Care Supplies,"San Jose, California",19/06/2017,1997,
ALLE,Allegion,Industrials,Building Products,"Dublin, Ireland",02/12/2013,1908,1908
AGN,"Allergan, plc",Health Care,Pharmaceuticals,"Dublin, Ireland",12/04/1999,1983,1983
ADS,Alliance Data Systems,Information Technology,Data Processing & Outsourced Services,"Plano, Texas",23/12/2013,1996,1996
LNT,Alliant Energy Corp,Utilities,Electric Utilities,"Madison, Wisconsin",01/07/2016,1917,1917
ALL,Allstate Corp,Financials,Property & Casualty Insurance,"Northfield Township, Illinois",13/07/1995,1931,1931
GOOGL,Alphabet Inc Class A,Communication Services,Interactive Media & Services,"Mountain View, California",03/04/2014,1998,1998
GOOG,Alphabet Inc Class C,Communication Services,Interactive Media & Services,"Mountain View, California",03/04/2006,1998,1998
MO,Altria Group Inc,Consumer Staples,Tobacco,"Richmond, Virginia",@,1985,
AMZN,Amazon.com Inc.,Consumer Discretionary,Internet & Direct Marketing Retail,"Seattle, Washington",18/11/2005,1994,1994
AMCR,Amcor plc,Materials,Paper Packaging,"Warmley, Bristol, United Kingdom",07/06/2019,2019 (1860),
AEE,Ameren Corp,Utilities,Multi-Utilities,"St. Louis, Missouri",19/09/1991,1902,1902
AAL,American Airlines Group,Industrials,Airlines,"Fort Worth, Texas",23/03/2015,1934,1934
AEP,American Electric Power,Utilities,Electric Utilities,"Columbus, Ohio",@,1906,
AXP,American Express Co,Financials,Consumer Finance,"New York, New York",30/06/1976,1850,1850
AIG,American International Group,Financials,Property & Casualty Insurance,"New York, New York",31/03/1980,1919,1919
T,AT&T,Communication Services,Integrated Telecommunication Services,"Dallas, Texas",1983-11-30 (1957-03-04),1983 (1885),
AMT,American Tower Corp.,Real Estate,Specialized REITs,"Boston, Massachusetts",19/11/2007,1995,1995
AWK,American Water Works Company Inc,Utilities,Water Utilities,"Camden, New Jersey",04/03/2016,1886,1886
AMP,Ameriprise Financial,Financials,Asset Management & Custody Banks,"Minneapolis, Minnesota",03/10/2005,1894,1894
ABC,AmerisourceBergen Corp,Health Care,Health Care Distributors,"Chesterbrook, Pennsylvania",30/08/2001,1985,1985
AME,AMETEK Inc.,Industrials,Electrical Components & Equipment,"Berwyn, Pennsylvania",23/09/2013,1930,1930
AMGN,Amgen Inc.,Health Care,Biotechnology,"Thousand Oaks, California",02/01/1992,1980,1980
APH,Amphenol Corp,Information Technology,Electronic Components,"Wallingford, Connecticut",30/09/2008,1932,1932
ADI,"Analog Devices, Inc.",Information Technology,Semiconductors,"Norwood, Massachusetts",12/10/1999,1965,1965
ANSS,ANSYS,Information Technology,Application Software,"Canonsburg, Pennsylvania",19/06/2017,1969,1969
ANTM,Anthem,Health Care,Managed Health Care,"Indianapolis, Indiana",25/07/2002,2014 (1940s),2014 (1940s)
AON,Aon plc,Financials,Insurance Brokers,"London, United Kingdom",23/04/1996,1982 (1919),1982 (1919)
AOS,A.O. Smith Corp,Industrials,Building Products,"Milwaukee, Wisconsin",26/07/2017,1916,1916
APA,Apache Corporation,Energy,Oil & Gas Exploration & Production,"Houston, Texas",28/07/1997,1954,1954
AIV,Apartment Investment & Management,Real Estate,Residential REITs,"Denver, Colorado",14/03/2003,1994 (1975),1994 (1975)
AAPL,Apple Inc.,Information Technology,"Technology Hardware, Storage & Peripherals","Cupertino, California",30/11/1982,1977,1977
AMAT,Applied Materials Inc.,Information Technology,Semiconductor Equipment,"Santa Clara, California",16/03/1995,1967,1967
APTV,Aptiv PLC,Consumer Discretionary,Auto Parts & Equipment,"Dublin, Ireland",24/12/2012,1994,1994
ADM,Archer-Daniels-Midland Co,Consumer Staples,Agricultural Products,"Chicago, Illinois",29/07/1981,1902,1902
ARNC,Arconic Inc.,Industrials,Aerospace & Defense,"New York, New York",31/03/1964,2016,
ANET,Arista Networks,Information Technology,Communications Equipment,"Santa Clara, California",28/08/2018,2004,
AJG,Arthur J. Gallagher & Co.,Financials,Insurance Brokers,"Itasca, Illinois",31/05/2016,@,
AIZ,Assurant,Financials,Multi-line Insurance,"New York, New York",10/04/2007,@,
ATO,Atmos Energy Corp,Utilities,Gas Utilities,"Dallas, Texas",15/02/2019,1906,
ADSK,Autodesk Inc.,Information Technology,Application Software,"San Rafael, California",01/12/1989,@,
ADP,Automatic Data Processing,Information Technology,Internet Services & Infrastructure,"Roseland, New Jersey",31/03/1981,@,
AZO,AutoZone Inc,Consumer Discretionary,Specialty Stores,"Memphis, Tennessee",02/01/1997,@,
AVB,"AvalonBay Communities, Inc.",Real Estate,Residential REITs,"Arlington, Virginia[3]",10/01/2007,@,
AVY,Avery Dennison Corp,Materials,Paper Packaging,"Glendale, California",31/12/1987,@,
BKR,Baker Hughes Co,Energy,Oil & Gas Equipment & Services,"Houston, Texas",07/07/2017,2017,
BLL,Ball Corp,Materials,Metal & Glass Containers,"Broomfield, Colorado",31/10/1984,@,
BAC,Bank of America Corp,Financials,Diversified Banks,"Charlotte, North Carolina",30/06/1976,@,
BK,The Bank of New York Mellon Corp.,Financials,Asset Management & Custody Banks,"New York, New York",31/03/1995,@,
BAX,Baxter International Inc.,Health Care,Health Care Equipment,"Deerfield, Illinois",30/09/1972,1931,
BDX,Becton Dickinson,Health Care,Health Care Equipment,"Franklin Lakes, New Jersey",30/09/1972,1897,
BRK.B,Berkshire Hathaway,Financials,Multi-Sector Holdings,"Omaha, Nebraska",16/02/2010,@,
BBY,Best Buy Co. Inc.,Consumer Discretionary,Computer & Electronics Retail,"Richfield, Minnesota",29/06/1999,@,
BIIB,Biogen Inc.,Health Care,Biotechnology,"Cambridge, Massachusetts",13/11/2003,@,
BLK,BlackRock,Financials,Asset Management & Custody Banks,"New York, New York",04/04/2011,@,
BA,Boeing Company,Industrials,Aerospace & Defense,"Chicago, Illinois",@,1916,
BKNG,Booking Holdings Inc,Consumer Discretionary,Internet & Direct Marketing Retail,"Norwalk, Connecticut",06/11/2009,@,
BWA,BorgWarner,Consumer Discretionary,Auto Parts & Equipment,"Auburn Hills, Michigan",19/12/2011,@,
BXP,Boston Properties,Real Estate,Office REITs,"Boston, Massachusetts",03/04/2006,@,
BSX,Boston Scientific,Health Care,Health Care Equipment,"Marlborough, Massachusetts[4]",24/02/1995,@,
BMY,Bristol-Myers Squibb,Health Care,Health Care Distributors,"New York, New York",@,1989,
AVGO,Broadcom Inc.,Information Technology,Semiconductors,"San Jose, California",08/05/2014,1961,
BR,Broadridge Financial Solutions,Information Technology,Data Processing & Outsourced Services,"Lake Success, New York",18/06/2018,1962,
BF.B,Brown-Forman Corp.,Consumer Staples,Distillers & Vintners,"Louisville, Kentucky",31/10/1982,@,
CHRW,C. H. Robinson Worldwide,Industrials,Air Freight & Logistics,"Eden Prairie, Minnesota",02/03/2007,@,
COG,Cabot Oil & Gas,Energy,Oil & Gas Exploration & Production,"Houston, Texas",23/06/2008,@,
CDNS,Cadence Design Systems,Information Technology,Application Software,"San Jose, California",18/09/2017,@,
CPB,Campbell Soup,Consumer Staples,Packaged Foods & Meats,"Camden, New Jersey",@,1869,
COF,Capital One Financial,Financials,Consumer Finance,"Tysons Corner, Virginia",01/07/1998,1935,
CPRI,Capri Holdings,Consumer Discretionary,"Apparel, Accessories & Luxury Goods","New York, New York",13/11/2013,@,
CAH,Cardinal Health Inc.,Health Care,Health Care Distributors,"Dublin, Ohio",27/05/1997,@,
KMX,Carmax Inc,Consumer Discretionary,Specialty Stores,"Richmond, Virginia",28/06/2010,@,
CCL,Carnival Corp.,Consumer Discretionary,"Hotels, Resorts & Cruise Lines","Miami, Florida",22/12/1998,@,
CAT,Caterpillar Inc.,Industrials,Construction Machinery & Heavy Trucks,"Deerfield, Illinois",@,1925,
CBOE,Cboe Global Markets,Financials,Financial Exchanges & Data,"Chicago, Illinois",01/03/2017,@,
CBRE,CBRE Group,Real Estate,Real Estate Services,"Los Angeles, California",10/11/2006,@,
